,ID,compositionality_type,question,answers,topic_ids,answer_ids
1413,WebQTest-472_deb498674439879541db12bd74b06368,comparative,"What team, founded after March 6, 1902, did Ronaldo play for in 2003?","[{'aliases': ['Brazil Football Team', 'Seleção', ""Brazil Men's National Football Team"", 'Brazil Mens Soccer Team', 'Brazil Mens National Soccer Team', ""Brazil Men's Football Team"", 'Brazil Mens Football Team', ""Brazil Men's National Soccer Team"", 'Brazil National Soccer Team', 'Brazil Mens National Football Team', 'Brazil national football', 'Brazil Soccer Team', ""Brazil Men's Soccer Team""], 'answer': 'Brazil national football team', 'answer_id': 'm.01352_'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/01352_']
2106,WebQTrn-909_c7f59cfa0da8bb3b2bfd614ce6e7fba9,comparative,What locations with GNIS feature IDs greater than 661145  were home to Bob Dylan?,"[{'aliases': ['St. Louis County / Hibbing city', 'Hibbing, Minnesota'], 'answer': 'Hibbing', 'answer_id': 'm.0wjjx'}, {'aliases': ['Los Angeles County / Malibu city', 'Malibu, California', 'Malibu Vista, California', 'Malibu Vista'], 'answer': 'Malibu', 'answer_id': 'm.0r0m6'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/0wjjx', '/m/0r0m6']"
2969,WebQTrn-3437_f16082d151b44c67c0dbb624fb553bf2,comparative,Which arabic speaking countries have an army of less than 8000?,"[{'aliases': ['Dawlat Qaṭar', 'State of Qatar'], 'answer': 'Bahrain', 'answer_id': 'm.0697s'}, {'aliases': ['Republic of Djibouti'], 'answer': 'Kuwait', 'answer_id': 'm.027jk'}, {'aliases': ['Kingdom of Bahrain'], 'answer': 'Djibouti', 'answer_id': 'm.0161c'}, {'aliases': [], 'answer': 'Qatar', 'answer_id': 'm.04gqr'}, {'aliases': [], 'answer': 'Libya', 'answer_id': 'm.047yc'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/0697s', '/m/027jk', '/m/0161c', '/m/04gqr', '/m/047yc']"
1587,WebQTest-1732_d79f461435ce0fc509d1e4fe0b154a38,comparative,"Where did Theodor Schwann attend university, that has less than 22128 of undergraduates?","[{'aliases': ['Humboldt University of Berlin, main campus', 'HU-Berlin', 'Humboldt-Universität zu Berlin'], 'answer': 'Humboldt University of Berlin', 'answer_id': 'm.01stzp'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/01stzp']
1767,WebQTest-1011_c0be4f76a5397ba6d0d06f53905e504b,comparative,What Tibetan speaking countries have a population of less than 993885000?,"[{'aliases': ['Tibetchamdo', 'Tibet-Chamdo', 'Thibet', 'Xizang Zizhiqu', 'Bod', ""Hsi-Tsang Tzu-Chih-Ch'U"", 'Tubut', 'Sitsang', 'Xizang Zizhiqu (Tibet)', 'Xizang', 'Tibetan Autonomous Region', 'Tibet Autonomous Region', 'Hsi-Tsang Tzu-Chih-Ch’Ü', 'Hsitsangtzuchihchu', 'Tübüt'], 'answer': 'China', 'answer_id': 'm.0f8nf'}, {'aliases': [""People's Republic of China""], 'answer': 'Tibet', 'answer_id': 'm.0d05w3'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/0f8nf', '/m/0d05w3']"
1211,WebQTrn-2730_479332275fb2963324885cad3ea4e15e,comparative,What movies in which Lucy Hale played have been released later than 6 August 2008?,"[{'aliases': ['TinkerBell and the Secret of the Wings', 'Tinker bell 4', 'Tinker Bell and the Mysterious Winter Woods', 'Secret of the Wings', 'Tinker Bell: A Winter Story'], 'answer': 'A Cinderella Story: Once Upon a Song', 'answer_id': 'm.0crfwmx'}, {'aliases': [], 'answer': 'Sorority Wars', 'answer_id': 'm.0bq4q22'}, {'aliases': ['A Cinderella Story: Once Upon A Song', 'A Cinderella Story 3'], 'answer': 'The Sisterhood of the Traveling Pants 2', 'answer_id': 'm.0gky0pl'}, {'aliases': [], 'answer': 'Scream 4', 'answer_id': 'm.02qrr8j'}, {'aliases': ['Krzyk 4', 'Klyksm4s', 'Sikoly 4.', 'Ciglik 4', 'Kivili 4', 'Skrik 4', 'Vrisak 4', 'Scream 4: Next Generation', ""Tze'aka 4"", 'Vrískot 4', 'Öskrið 4', 'Gritos 4', 'Scre4m: Grita de Nuevo', 'Крик 4', 'Klyksmas 4', 'Pânico 4', 'Scre4m'], 'answer': 'Tinker Bell: Secret of the Wings', 'answer_id': 'm.0bwhdbl'}, {'aliases': [], 'answer': 'Killer in the Family', 'answer_id': 'm.0b6q30j'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/03m5y9p', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/0crfwmx', '/m/0bq4q22', '/m/0gky0pl', '/m/02qrr8j', '/m/0bwhdbl', '/m/0b6q30j']"
3304,WebQTrn-3252_486294eb91124adee733f0f1076b2d5b,comparative,Through which countries does the Niger river flow that have country calling codes lower than 229?,"[{'aliases': ['Republic of Niger'], 'answer': 'Guinea', 'answer_id': 'm.05cc1'}, {'aliases': [], 'answer': 'Niger', 'answer_id': 'm.03676'}, {'aliases': [], 'answer': 'Mali', 'answer_id': 'm.04v09'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/05cc1', '/m/03676', '/m/04v09']"
1609,WebQTrn-2190_69e5252a92490c5605b36d991845d5ed,comparative,In what places with a population of less than 599000 does Sam Shepard live?,"[{'aliases': ['Stillwater, Minnesota', 'Washington County / Stillwater city'], 'answer': 'South Dakota', 'answer_id': 'm.0wmtg'}, {'aliases': ['Fla', 'Sunshine State', 'FL', 'State of Florida'], 'answer': 'Florida', 'answer_id': 'm.02xry'}, {'aliases': ['Los Angeles County / Duarte city', 'Duarte, California'], 'answer': 'Guam', 'answer_id': 'm.0r06n'}, {'aliases': ['UT', 'Beehive State'], 'answer': 'Utah', 'answer_id': 'm.07srw'}, {'aliases': ['S Dak', 'Mount Rushmore State', 'SD'], 'answer': 'South Pasadena', 'answer_id': 'm.06mz5'}, {'aliases': [], 'answer': 'Duarte', 'answer_id': 'm.034tl'}, {'aliases': ['Los Angeles County / South Pasadena city', 'South Pasadena, California'], 'answer': 'Stillwater', 'answer_id': 'm.0r0_5'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/0wmtg', '/m/02xry', '/m/0r06n', '/m/07srw', '/m/06mz5', '/m/034tl', '/m/0r0_5']"
1664,WebQTrn-909_fe06c5a92e0219525f1703c48dbe6e6d,comparative,Where did Bob Dylan live where there is a population smaller than 388101?,"[{'aliases': ['St. Louis County / Hibbing city', 'Hibbing, Minnesota'], 'answer': 'Hibbing', 'answer_id': 'm.0wjjx'}, {'aliases': ['Los Angeles County / Malibu city', 'Malibu, California', 'Malibu Vista, California', 'Malibu Vista'], 'answer': 'Duluth', 'answer_id': 'm.0r0m6'}, {'aliases': ['Duluth, Minnesota', 'St. Louis County / Duluth city'], 'answer': 'Malibu', 'answer_id': 'm.0h1k6'}, {'aliases': ['Minneapolis, Minnesota', 'Hennepin County / Minneapolis city'], 'answer': 'Minneapolis', 'answer_id': 'm.0fpzwf'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/0wjjx', '/m/0r0m6', '/m/0h1k6', '/m/0fpzwf']"
2995,WebQTrn-191_128642d73ca29b533dcf6eb1ae0bfa36,comparative,What EU country has an ISO less than 056?,"[{'aliases': ['Ostarrichi', 'Republic of Austria', 'Österreich', 'Oesterreich', 'Autriche'], 'answer': 'Austria', 'answer_id': 'm.0h7x'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0h7x']
1279,WebQTrn-2597_16044e3b13118db04cd6ac080c5ac7fc,composition,"If a person is in the state where the 1994 MIssouri US senate election was held, which time zone were they in?","[{'aliases': ['Central Standard Time', 'Central Time', 'Central Daylight Time', 'Central Standard Time Zone'], 'answer': 'Central Time Zone', 'answer_id': 'm.02fqwt'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0k20s', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/02fqwt']
1484,WebQTrn-2693_87e0084d38db8372b243b8cb17e3d47a,composition,"In what state did the actor who played in the film ""Recognition of the Japanese Zero Fighter"" the governor?","[{'aliases': ['California, USA', 'Calif', 'CA', 'Golden State'], 'answer': 'California', 'answer_id': 'm.01n7q'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0k20s', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/01n7q']
2108,WebQTrn-3647_549761eca9c4f858651ea00f4f9c4abc,composition,Where did the political appointer who had the title of Commander in Chief of Home Forces die?,"[{'aliases': ['Berlin, Germany', 'Land Berlin'], 'answer': 'Berlin', 'answer_id': 'm.0156q'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0156q']
1188,WebQTrn-470_e1866ddb432fa90359080d98900d0cfc,composition,"What are the names of the artists who recorded ""We Got the Party?""?","[{'aliases': ['John Cahill Lawless'], 'answer': 'Jack Lawless', 'answer_id': 'm.0417yh9'}, {'aliases': ['The High Flier', 'Jonas Brothers', 'Joseph Jonas', 'the Jonas Brothers', 'Joe', 'JJ', 'Joseph Adam Jonas', 'DJ Danger'], 'answer': 'Joe Jonas', 'answer_id': 'm.04cr6qv'}, {'aliases': ['SOS dancer', 'Jonas Brothers', 'Paul Kevin Jonas', 'Paul Kevin Jonas II', 'Paul Jonas II', 'K2', 'the Jonas Brothers', 'Kev', 'Kevin Jonas II'], 'answer': 'Kevin Jonas', 'answer_id': 'm.04d_mtq'}, {'aliases': ['Nicholas Jonas', 'Jonas Brothers', 'Nick J.', 'Nicholas Jerry Jonas', 'Nick', 'The Jonas Brothers', 'Mr. President'], 'answer': 'Nick Jonas', 'answer_id': 'm.04f7c55'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/0417yh9', '/m/04cr6qv', '/m/04d_mtq', '/m/04f7c55']"
2084,WebQTest-952_e6d39a9b5febd6b64ecba02a291338ba,composition,Which country has an official symbol of Picea Sitchensis?,"[{'aliases': ['U.S. of A.', ""Estats Units d'Amèrica"", 'USA', 'U.S.A.', 'U.S.', 'The States', 'US', 'United States', 'America'], 'answer': 'United States of America', 'answer_id': 'm.09c7w0'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/09c7w0']
303,WebQTrn-577_5a7f5c1dfeaddda67fda5178c6c27e16,composition,The country that contains TarapacÃ¡ Region has what type of government today?,"[{'aliases': ['Presidential'], 'answer': 'Presidential system', 'answer_id': 'm.01d9r3'}, {'aliases': ['Unitary republic', 'Unitary'], 'answer': 'Unitary state', 'answer_id': 'm.01fpfn'}, {'aliases': ['Constitutional'], 'answer': 'Constitutional republic', 'answer_id': 'm.0c9rw5'}, {'aliases': ['Democratic'], 'answer': 'Democratic republic', 'answer_id': 'm.0fpgmpz'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/01d9r3', '/m/01fpfn', '/m/0c9rw5', '/m/0fpgmpz']"
1974,WebQTrn-1066_1bbff1431d59ee1a4d55e641c71b0f3d,composition,What actress plays Claire on a television show with the theme song 'Lonely Girl'?,"[{'aliases': ['Em', 'Emilie De Ravin'], 'answer': 'Emilie de Ravin', 'answer_id': 'm.03x22w'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/03x22w']
2624,WebQTrn-2686_6548e14725724b38f71937375d701784,composition,What type of currency has an official Ceiba pentandra symbol?,"[{'aliases': ['USD', '$', 'US Dollar', 'US $', 'US Currency', 'US$', 'Federal Reserve Note', 'American Dollar', 'Greenback'], 'answer': 'United States Dollar', 'answer_id': 'm.09nqf'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/09nqf']
3133,WebQTrn-1167_675e2a842506fdbbcf3ccdec8f51cee3,composition,Who plays Lois in the TV show with the Family Guy Theme Song?,"[{'aliases': ['A.bo', 'Alexandrea Borstein', 'Alexandrea ""Alex"" Borstein', 'Alex', 'A. Bo'], 'answer': 'Alex Borstein', 'answer_id': 'm.03jldb'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/03jldb']
107,WebQTest-1364_94ffac9463c2e44c2a2c75b0e328f394,composition,What language is spoken in the country with Scotland the Brave as its national anthem?,"[{'aliases': ['Sekgoa', 'Anglit', 'English language', 'English'], 'answer': 'English Language', 'answer_id': 'm.02h40lc'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/02h40lc']
803,WebQTest-652_b803f7cb1ed033efb84cf19de9fa09eb,composition,"What type of Hispanic is the actor who played in the movie ""Arwin!""?","[{'aliases': ['Mexicans', 'Mexican'], 'answer': 'Mexicans', 'answer_id': 'm.09k5jvk'}, {'aliases': ['Italian-American'], 'answer': 'Italian American', 'answer_id': 'm.0xnvg'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/09k5jvk', '/m/0xnvg']"
3353,WebQTrn-2730_230c2ef1e393d06de5cd256b2ac32424,composition,What other films has the actor who played Periwinkle been in?,"[{'aliases': [], 'answer': 'The Sisterhood of the Traveling Pants 2', 'answer_id': 'm.02qrr8j'}, {'aliases': ['Deep Cove'], 'answer': 'Fear Island', 'answer_id': 'm.05pbjnr'}, {'aliases': [], 'answer': 'Sorority Wars', 'answer_id': 'm.0b6q30j'}, {'aliases': [], 'answer': 'Killer in the Family', 'answer_id': 'm.0bq4q22'}, {'aliases': ['Krzyk 4', 'Klyksm4s', 'Sikoly 4.', 'Ciglik 4', 'Kivili 4', 'Skrik 4', 'Vrisak 4', 'Scream 4: Next Generation', ""Tze'aka 4"", 'Vrískot 4', 'Öskrið 4', 'Gritos 4', 'Scre4m: Grita de Nuevo', 'Крик 4', 'Klyksmas 4', 'Pânico 4', 'Scre4m'], 'answer': 'Scream 4', 'answer_id': 'm.0bwhdbl'}, {'aliases': ['TinkerBell and the Secret of the Wings', 'Tinker bell 4', 'Tinker Bell and the Mysterious Winter Woods', 'Secret of the Wings', 'Tinker Bell: A Winter Story'], 'answer': 'Tinker Bell: Secret of the Wings', 'answer_id': 'm.0crfwmx'}, {'aliases': ['A Cinderella Story: Once Upon A Song', 'A Cinderella Story 3'], 'answer': 'A Cinderella Story: Once Upon a Song', 'answer_id': 'm.0gky0pl'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/03m5y9p', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/02qrr8j', '/m/05pbjnr', '/m/0b6q30j', '/m/0bq4q22', '/m/0bwhdbl', '/m/0crfwmx', '/m/0gky0pl']"
2300,WebQTrn-3319_ba1a22d26f902b1b43ad13dd55cccf2f,composition,Who played Dorothy in the famous film that also starred Jack Paul?,"[{'aliases': ['Frances Gayne', 'Baby Gumm', 'Alice Gumm', 'Gracie Gumm', 'Marie Gumm', 'Frances Gumm', 'Judy', 'Miss Show Business', 'Joots', 'Frances Ethel Gumm', 'The Garland Sisters'], 'answer': 'Judy Garland', 'answer_id': 'm.0g10g'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0g10g']
2379,WebQTrn-3118_15cace8f716a3aed245757a5874e1bb0,composition,"Who is rich? He that rejoices in his portion, was said by a person with what job?","[{'aliases': [], 'answer': 'Statesman', 'answer_id': 'm.016fc2'}, {'aliases': ['Elementary School Librarian-retired'], 'answer': 'Librarian', 'answer_id': 'm.01l5t6'}, {'aliases': ['political satirist'], 'answer': 'Satirist', 'answer_id': 'm.02kv97_'}, {'aliases': [], 'answer': 'Inventor', 'answer_id': 'm.03sbb'}, {'aliases': [], 'answer': 'Printer', 'answer_id': 'm.05r6c'}, {'aliases': [], 'answer': 'Political activist', 'answer_id': 'm.05svgpc'}, {'aliases': [], 'answer': 'Scientist', 'answer_id': 'm.06q2q'}, {'aliases': [], 'answer': 'Diplomat', 'answer_id': 'm.080ntlp'}, {'aliases': ['Musical Artist', 'Instrumentalist'], 'answer': 'Musician', 'answer_id': 'm.09jwl'}, {'aliases': ['Scribe', 'Author'], 'answer': 'Writer', 'answer_id': 'm.0cbd2'}, {'aliases': ['Político'], 'answer': 'Politician', 'answer_id': 'm.0fj9f'}, {'aliases': ['Writer'], 'answer': 'Author', 'answer_id': 'm.0kyk'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/016fc2', '/m/01l5t6', '/m/02kv97_', '/m/03sbb', '/m/05r6c', '/m/05svgpc', '/m/06q2q', '/m/080ntlp', '/m/09jwl', '/m/0cbd2', '/m/0fj9f', '/m/0kyk']"
3112,WebQTrn-1386_3b214c1929d9a773e510f76abc12aa0f,composition,"Find the name of the actor who starred in The Best of Donna Summer: The DVD Collection, what killed this person?","[{'aliases': [], 'answer': 'Lung cancer', 'answer_id': 'm.04p3w'}, {'aliases': ['Malignant neoplasm'], 'answer': 'Cancer', 'answer_id': 'm.0qcr0'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/04p3w', '/m/0qcr0']"
363,WebQTest-1782_af0a37b13a66138a543af50c2ac24bb8,composition,Where does the country that appointed Adly Mansour to a government position export to?,"[{'aliases': ['North Sudan', 'Republic of the Sudan', 'Jumhūrīyat as-Sūdān'], 'answer': 'Sudan', 'answer_id': 'm.06tw8'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/06tw8']
1283,WebQTrn-2458_7e386deae563f6bc0093c448343b6807,composition,"On what continent would you find the location where the movie ""The Carbon Collective"" is set?","[{'aliases': [], 'answer': 'North America', 'answer_id': 'm.059g4'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/059g4']
